"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1097","Verify Mobile Brands Exist in Mega Menu (example #4)","","2026-01-08","failed","2026-01-08","","Mobile Sub-Category Listing Verification","",""
"","1096","Verify Mobile Brands Exist in Mega Menu (example #1)","","2026-01-08","passed","2026-01-08","","Mobile Sub-Category Listing Verification","",""
"","1235","Verify Mega Menu Redirects to Correct Brand Page (example #4)","","2026-01-08","passed","2026-01-08","","Mega Menu Navigation","",""
"","64887","Checkout same product with multiple addresses from Excel","","2026-01-08","passed","2026-01-08","","Checkout Data Driven Testing","",""
"","2612","Successful Login with Existing User","","2026-01-08","passed","2026-01-08","","Login Functionality","",""
"","1251","Failed Login with Incorrect Credentials","","2026-01-08","passed","2026-01-08","","Login Functionality","",""
"","2788","Successful Registration with Unique Data","","2026-01-08","passed","2026-01-08","","User Registration","",""
"","1454","User searches for a non-existing product","","2026-01-08","passed","2026-01-08","","Product Search Functionality","",""
"","10812","Verify Mega Menu Redirects to Correct Brand Page (example #6)","","2026-01-08","failed","2026-01-08","","Mega Menu Navigation","",""
"","741","Verify Mobile Brands Exist in Mega Menu (example #3)","","2026-01-08","passed","2026-01-08","","Mobile Sub-Category Listing Verification","",""
"","1282","Verify Mega Menu Redirects to Correct Brand Page (example #5)","","2026-01-08","passed","2026-01-08","","Mega Menu Navigation","",""
"","1405","Verify Mega Menu Redirects to Correct Brand Page (example #3)","","2026-01-08","failed","2026-01-08","","Mega Menu Navigation","",""
"","12638","Successful Checkout for a Product","","2026-01-08","passed","2026-01-08","","Product Purchase Flow","",""
"","1365","User searches for existing products (example #2)","","2026-01-08","passed","2026-01-08","","Product Search Functionality","",""
"","1499","Verify Mega Menu Redirects to Correct Brand Page (example #2)","","2026-01-08","failed","2026-01-08","","Mega Menu Navigation","",""
"","2224","Failed Registration without Privacy Policy","","2026-01-08","passed","2026-01-08","","User Registration","",""
"","1861","Verify Mega Menu Redirects to Correct Brand Page (example #1)","","2026-01-08","failed","2026-01-08","","Mega Menu Navigation","",""
"","696","Verify Mobile Brands Exist in Mega Menu (example #2)","","2026-01-08","passed","2026-01-08","","Mobile Sub-Category Listing Verification","",""
"","2050","User searches for existing products (example #1)","","2026-01-08","passed","2026-01-08","","Product Search Functionality","",""
"","10320","Failed checkout when First Name is empty","","2026-01-08","passed","2026-01-08","","Checkout Negative Scenarios","",""
